word,mlu,dataset
a,9.204590821028987,babylm
away,18.127454078338165,babylm
i,10.025949473549257,babylm
go,12.170042490579918,babylm
now,13.376683400925446,babylm
you,9.958192129761596,babylm
why,10.468748274529291,babylm
wait,14.532355414832038,babylm
he,12.557062057621172,babylm
here,12.14872699659526,babylm
out,16.727199367858418,babylm
house,17.91668757142459,babylm
is,14.115727039358221,babylm
this,13.729696484379344,babylm
boy,17.07493546857715,babylm
the,14.382241028538008,babylm
cold,16.109966899595438,babylm
finish,13.431421035278602,babylm
not,16.142465370508177,babylm
over,19.497698721185,babylm
and,18.612046912489305,babylm
hello,4.302408111533587,babylm
man,18.83396907869725,babylm
am,16.96992174649012,babylm
your,11.111881488335454,babylm
to,15.879425339836592,babylm
on,13.801632000860561,babylm
all,16.364750742486017,babylm
down,16.276744289368292,babylm
do,12.227857027213876,babylm
for,19.176826538587026,babylm
hat,12.21250862113392,babylm
at,12.811619214301341,babylm
what,10.009358100254198,babylm
stand,17.259471611306683,babylm
ant,15.538693960893783,babylm
see,15.596952078808881,babylm
under,19.509194875321565,babylm
help,15.721032647329091,babylm
pen,16.37239726399546,babylm
first,19.610206684827258,babylm
mine,15.949333161106985,babylm
give,18.08892141936995,babylm
that,14.982707499711374,babylm
have,15.74874117364969,babylm
read,15.886366750008563,babylm
so,16.656053017221627,babylm
dark,24.034701986754968,babylm
who,20.61655027740208,babylm
eat,17.946066525595988,babylm
ear,18.75885245715454,babylm
turn,18.357746328437916,babylm
get,13.97119155075466,babylm
take,16.817009786433303,babylm
with,20.119660997814083,babylm
yes,9.090129018626936,babylm
eye,20.42909438490167,babylm
hear,19.08515657855597,babylm
arm,20.486721922598992,babylm
back,15.705526435209238,babylm
light,21.47743660514059,babylm
friend,16.252282157676348,babylm
there,13.673119363435736,babylm
hold,15.756628113879003,babylm
careful,16.83725558055027,babylm
car,15.514948158684156,babylm
tired,16.25766217963343,babylm
red,20.659501428601516,babylm
ice,16.308625487920192,babylm
don't,9.769127686191242,babylm
scared,10.099480968858131,babylm
can,13.308302976615535,babylm
new,20.07567777536588,babylm
listen,15.247996774681248,babylm
off,17.13229929861663,babylm
bat,18.04862681257725,babylm
horse,19.22784067085954,babylm
run,17.153488902649677,babylm
night,17.237360981259506,babylm
work,17.91160687715391,babylm
hard,18.256557609003245,babylm
hit,16.8,babylm
white,20.982606449390794,babylm
love,14.367908689022043,babylm
good,13.318644641527317,babylm
star,16.623811343919755,babylm
catch,15.376173225753334,babylm
up,16.80278711721974,babylm
cat,17.40602632819265,babylm
talk,13.571220557899988,babylm
mouth,15.599535894144367,babylm
too,16.70304899104022,babylm
big,13.08831329097306,babylm
story,16.237849932355083,babylm
drop,16.986400448224927,babylm
stairs,12.828479448978063,babylm
outside,15.160114291761468,babylm
play,13.150719596367939,babylm
please,10.260558321567462,babylm
today,12.149983316649983,babylm
day,17.487146478761908,babylm
did,12.819099235259158,babylm
hose,19.615271474725635,babylm
like,13.996339713619193,babylm
sleep,14.1528543027549,babylm
need,13.223678482230827,babylm
people,19.64098331724231,babylm
write,16.728676592682792,babylm
dry,18.144193796462446,babylm
home,17.811927523514832,babylm
mad,21.31552633607541,babylm
asleep,17.48868028713418,babylm
lunch,13.59129397734049,babylm
more,17.396048642345495,babylm
hungry,12.637184562097971,babylm
some,15.973651002919295,babylm
bad,16.289775434361403,babylm
make,15.175352849122234,babylm
money,17.381442076875203,babylm
street,21.658976070168748,babylm
tree,20.654231450263175,babylm
buy,16.448976618836042,babylm
bus,17.565454584972507,babylm
bib,21.616454229432215,babylm
finger,13.871089332830758,babylm
break,16.160597806608845,babylm
later,17.30995501662429,babylm
find,17.714974641872054,babylm
hand,18.95832975156881,babylm
say,15.706974478176141,babylm
look,11.928851409326464,babylm
stop,14.010258026966728,babylm
fall,17.63770144981644,babylm
wake,18.480771425310966,babylm
show,17.924922957033047,babylm
hurt,11.256941896024465,babylm
girl,16.07129259330313,babylm
jacket,15.246770601336303,babylm
blue,13.21118710765483,babylm
police,15.60621996554538,babylm
school,16.88240537924711,babylm
choo,16.253050250324495,babylm
build,17.374776475263264,babylm
sit,18.063161008209892,babylm
kitchen,15.575476190476191,babylm
share,20.380945757997218,babylm
better,15.393771262871887,babylm
store,21.60619554695063,babylm
nice,10.537437528396184,babylm
happy,16.242160540135036,babylm
drink,11.841589726765712,babylm
morning,19.54375217102978,babylm
living,18.904352853720987,babylm
hide,16.888853704876503,babylm
head,17.905141100866164,babylm
where,15.234787508048937,babylm
sad,21.129320786359823,babylm
tape,10.249539028887524,babylm
thank,9.238666199894976,babylm
gentle,22.585759493670885,babylm
pick,13.431920064812314,babylm
bee,20.610833586444446,babylm
cry,13.090713847412559,babylm
high,21.206195297751844,babylm
little,18.321954351999235,babylm
game,16.251933916423713,babylm
paper,15.42935366115525,babylm
try,18.53508532423208,babylm
stay,14.390712673331183,babylm
dress,19.46733000137558,babylm
call,17.036602425311628,babylm
jump,15.681855966145243,babylm
water,18.817882390745503,babylm
swim,18.189274447949526,babylm
close,17.851019547921386,babylm
touch,15.168909193316228,babylm
ouch,14.734824926295383,babylm
leg,18.689586776859503,babylm
door,16.672515343496336,babylm
empty,17.34073199527745,babylm
grass,22.95870623331763,babylm
lion,18.443525326797385,babylm
garbage,11.537560975609756,babylm
slow,19.884659644153317,babylm
drive,16.156004993757804,babylm
hurry,17.566564729867483,babylm
table,18.13080121108048,babylm
train,16.10221090807644,babylm
rain,16.60343029736435,babylm
bed,17.303230021328517,babylm
present,24.37694967887642,babylm
awake,22.259732540861812,babylm
pull,13.943294246976915,babylm
clean,14.279944391600205,babylm
sky,21.357126874021034,babylm
sing,16.448127740736513,babylm
open,16.786715101193565,babylm
tomorrow,10.27122024180481,babylm
put,13.90236973783787,babylm
chin,18.66260153031195,babylm
breakfast,17.329395933014354,babylm
fast,17.93288485607009,babylm
room,16.55857047204553,babylm
black,19.7280685755973,babylm
inside,14.07234934928761,babylm
park,16.164903900830208,babylm
hot,15.948066351625036,babylm
sick,17.86802973977695,babylm
food,15.568835870776086,babylm
fish,15.611917901055282,babylm
foot,17.101898800573487,babylm
brother,17.342683477760893,babylm
keys,13.309181141439206,babylm
cut,17.075960919046597,babylm
cute,14.332855093256814,babylm
carrots,12.968421052631578,babylm
coffee,11.70916089299461,babylm
full,23.257954942804336,babylm
paint,15.306429423094562,babylm
wipe,14.505161734342739,babylm
watch,13.767632970874669,babylm
heavy,21.94581164221486,babylm
pillow,18.953535353535354,babylm
shake,13.249502322495022,babylm
pool,17.934335839598997,babylm
broken,17.721417069243156,babylm
sandwich,9.878079756159512,babylm
wanna,7.958684619792093,babylm
sister,17.553601042407013,babylm
shirt,12.608639228772711,babylm
cow,13.488512447705919,babylm
walk,17.13738452176799,babylm
block,13.2829216105816,babylm
gonna,9.998196208758772,babylm
yard,25.426167146974063,babylm
throw,17.019341739687967,babylm
nuts,17.10200553250346,babylm
nose,13.09178669935642,babylm
another,15.992828563678286,babylm
sun,20.064366317676296,babylm
telephone,11.227610733915293,babylm
kick,14.777573221757322,babylm
bring,19.496157502772935,babylm
face,20.867280791538725,babylm
snow,19.800645951664997,babylm
doctor,16.480381214046535,babylm
bear,18.094688115862322,babylm
moon,19.62327119663259,babylm
dinner,15.256051595611023,babylm
stuck,11.730653584427916,babylm
hair,14.227248338767593,babylm
fix,14.877868785986538,babylm
button,12.245449207281268,babylm
box,11.50379152772632,babylm
toe,14.405244338498212,babylm
dance,18.825339446305765,babylm
plate,15.248946225571594,babylm
ride,18.853140474328903,babylm
picture,12.98016447117947,babylm
chase,22.03796970293134,babylm
climb,17.64874203649714,babylm
cook,13.026725386100386,babylm
lamp,26.5,babylm
bedroom,18.33959731543624,babylm
bottle,11.770341715022566,babylm
bunny,6.686427457098284,babylm
carry,23.669350426014226,babylm
feed,15.693673858799354,babylm
pretty,16.242927429274292,babylm
noisy,19.82382762991128,babylm
party,20.314933523266856,babylm
push,12.765707751564756,babylm
cover,22.040400116538798,babylm
clown,9.071812596006144,babylm
cookie,7.676006113092206,babylm
kiss,13.691250189883032,babylm
draw,15.919486166007905,babylm
crib,19.02708782453838,babylm
wind,20.227618271906604,babylm
window,19.20924253411563,babylm
drawer,16.199754148740013,babylm
quiet,18.188066465256796,babylm
smile,17.47258419360298,babylm
sweep,23.16834050693448,babylm
blow,16.65133656883137,babylm
pig,12.963626433642817,babylm
bug,13.468652037617554,babylm
juice,7.2575454832264175,babylm
lick,12.706422018348624,babylm
green,14.963498622589531,babylm
brown,18.27276357827476,babylm
camera,10.779595141700405,babylm
bite,13.572762754390856,babylm
brush,13.82872843840635,babylm
belt,17.129783693843596,babylm
clock,15.441124961368084,babylm
basket,18.82343524891948,babylm
movie,15.41585964302775,babylm
tissue,13.585738539898133,babylm
pencil,12.00853115727003,babylm
fit,19.305162992274354,babylm
beach,21.289480354879593,babylm
shoulder,22.832947898245138,babylm
nail,15.849808203009738,babylm
cheese,9.565087719298246,babylm
soft,17.507854127742025,babylm
flower,18.508449427087626,babylm
glass,15.421755914084926,babylm
tiger,16.694444444444443,babylm
balloon,9.821564367191744,babylm
wash,14.614128035320089,babylm
corn,20.371750312804114,babylm
meat,21.165382335506816,babylm
plant,19.735873425896028,babylm
refrigerator,10.563814866760168,babylm
soda,10.903462749213011,babylm
zoo,11.860474802165765,babylm
spoon,9.733807266982623,babylm
wet,17.425782564793,babylm
egg,17.254589893707724,babylm
closet,19.489698890649763,babylm
soap,15.343783783783783,babylm
glasses,12.361893104855161,babylm
taste,17.50471063257066,babylm
tummy,7.730299667036626,babylm
nap,13.718120237087215,babylm
garden,23.432435222463095,babylm
sauce,17.306508875739645,babylm
salt,20.223079503522307,babylm
lady,17.94895456892101,babylm
chair,12.7451693960662,babylm
elephant,11.380141388174808,babylm
rock,19.647360383944154,babylm
bath,13.712997090203686,babylm
bathroom,11.484682213077274,babylm
broom,21.41317365269461,babylm
toothbrush,9.683720930232559,babylm
tooth,14.278601694915254,babylm
couch,14.996242171189978,babylm
bird,17.08098848638023,babylm
shh,5.4495412844036695,babylm
butter,14.394588165328576,babylm
dish,20.168601437258154,babylm
slide,11.727502295684113,babylm
cheek,23.530767216548835,babylm
toy,8.550731723216323,babylm
knife,17.529278713244533,babylm
lips,19.463388480392158,babylm
cup,14.49420134890607,babylm
sink,18.52655588139459,babylm
boat,21.212473684210526,babylm
