word,mlu,dataset
i,6.448104630042213,childes
and,9.461633541361765,childes
down,7.674410017659335,childes
do,7.342553626425238,childes
sit,8.362353304508956,childes
a,5.887575288984725,childes
nap,7.504235656526761,childes
there,6.500284611979002,childes
he,7.32607134128716,childes
napkin,6.8659127625201934,childes
here,6.300033122706889,childes
the,7.879860888912039,childes
yes,3.4444660313305246,childes
you,7.59812225357486,childes
is,6.9455643561347316,childes
finish,7.5863985807214664,childes
your,8.216446835589494,childes
turn,7.593549812237685,childes
lunch,8.814814814814815,childes
go,7.5338117953165655,childes
better,8.166902604756512,childes
take,8.831496557681737,childes
where,6.300289780410845,childes
blanket,7.736379613356767,childes
new,9.468997610363477,childes
up,8.09026658400496,childes
bed,8.24765401876785,childes
clean,8.08721590909091,childes
sleep,7.7731724206152935,childes
not,7.154789306278725,childes
stairs,7.765615585458928,childes
room,8.91689161129568,childes
living,10.966090425531915,childes
hat,6.469061238790182,childes
at,6.6741735088964305,childes
what,6.06682378008426,childes
who,6.31297950811589,childes
put,8.928834474115492,childes
to,8.752249699915753,childes
say,7.7149113746229805,childes
out,8.794461380247549,childes
car,7.517773094485423,childes
green,7.11974988201982,childes
on,7.518040127132611,childes
little,9.270384638415937,childes
stand,8.616454986925664,childes
that,6.8101171039555215,childes
morning,10.16247865333008,childes
bee,8.742820730671198,childes
red,7.257459173403461,childes
man,7.669184464895526,childes
now,7.742122830440588,childes
show,8.333451177260836,childes
all,8.292492473980007,childes
please,5.954606064119659,childes
ice,7.2056073056018155,childes
more,7.549520918318945,childes
juice,6.339582013932869,childes
did,7.745822696681365,childes
so,8.426724419745014,childes
play,8.529811103002325,childes
for,9.200322070133549,childes
with,9.727188977414228,childes
can,8.151839097734534,childes
block,7.728399140921857,childes
box,8.12418481073807,childes
first,10.082607890350065,childes
away,8.52967071667547,childes
this,7.085249860774918,childes
read,7.435790499918756,childes
wanna,7.764199272403297,childes
tape,8.185750999428898,childes
get,8.784759097124793,childes
bicycle,6.12,childes
am,7.639850753060017,childes
find,8.624415821269805,childes
over,8.711993888464477,childes
cover,8.84452778724855,childes
picture,8.445117794106507,childes
make,7.659072877705996,childes
day,9.282593953094095,childes
jump,8.328604294478527,childes
kitchen,9.38300051203277,childes
don't,7.672047383478935,childes
why,6.1728739048326675,childes
ear,7.651497409174742,childes
stay,8.64911510896592,childes
cry,5.592602343030143,childes
help,7.7290724550296455,childes
some,8.615239288348269,childes
hot,7.075154004106776,childes
water,8.207028057749932,childes
have,8.655541963162701,childes
back,8.762625370468507,childes
