word,mlu,dataset
on,15.602000937238808,unified
you,9.696787587758047,unified
i,11.501551924382134,unified
have,15.603303825204152,unified
bee,21.240059651529357,unified
a,10.980882955873358,unified
wait,13.122240523347514,unified
away,17.121072867669486,unified
up,19.20098416138033,unified
did,14.164724578354642,unified
go,13.514195407318914,unified
build,22.037072528971795,unified
is,16.3633388784067,unified
hat,13.26368612826278,unified
at,14.841129242080537,unified
with,21.435694976700177,unified
and,21.29514521985098,unified
stand,19.059089605500557,unified
do,14.0763848255953,unified
house,20.215229535569254,unified
get,13.700883261936983,unified
who,23.8826420100979,unified
he,13.985906568912515,unified
here,13.413438163121645,unified
what,12.012038976861353,unified
so,18.275011923240346,unified
the,16.287966050195145,unified
all,17.647715400157878,unified
call,18.052096228771095,unified
where,20.071240543022842,unified
like,15.306955705566367,unified
your,10.50478335608607,unified
why,11.251174103354701,unified
bad,14.281658259391856,unified
pen,18.591463201784155,unified
to,16.67427518281656,unified
can,15.17550533428335,unified
some,16.51395495067371,unified
this,14.949593473869696,unified
cry,17.488387029579226,unified
that,17.98652189721536,unified
ear,19.847637566814562,unified
hear,16.154351855980735,unified
too,16.535795403683547,unified
outside,18.15645898484484,unified
out,16.20129638412077,unified
put,19.488479678513848,unified
block,19.733808070532383,unified
little,17.798635553927205,unified
girl,13.764645100848671,unified
talk,11.484418036566671,unified
read,18.73608481109182,unified
am,19.38249689148962,unified
camera,16.511394749557095,unified
hot,15.708552011551397,unified
try,19.881021401079114,unified
play,19.481490107418157,unified
oven,26.107579135086937,unified
pick,15.058524235271095,unified
now,12.619071302980295,unified
for,20.025138606660516,unified
more,20.80075993826494,unified
take,17.043513822462817,unified
car,17.971592454853084,unified
careful,19.500951191118432,unified
full,24.093482982958943,unified
friend,16.222320482316693,unified
broken,22.918791906130267,unified
need,11.822623585972243,unified
cook,15.240240857688354,unified
sleep,15.680608189296608,unified
back,14.095773257702591,unified
see,17.341268727209403,unified
dress,21.079784483650126,unified
sit,23.255548617989994,unified
another,19.54942896251946,unified
not,17.467509296885765,unified
day,17.73519760366479,unified
yes,17.19103430703976,unified
man,21.08139271908875,unified
there,16.47481371200485,unified
door,18.303126947765485,unified
knock,16.683419497784342,unified
inside,14.534129220345609,unified
home,16.519703232567277,unified
night,15.358692303208453,unified
look,14.896079158587272,unified
thank,9.96443071734289,unified
sing,22.821054332143035,unified
people,18.390542805637843,unified
new,19.54370215065297,unified
give,18.8326583624798,unified
ice,19.301815264873905,unified
police,14.935820020892253,unified
good,14.675077916713605,unified
make,17.36523308113385,unified
ant,17.650970333420844,unified
don't,8.828201739305982,unified
finger,18.79951214164337,unified
child's,20.92842292842293,unified
down,16.022556996048703,unified
first,22.273977088703898,unified
eat,20.764791309817653,unified
work,18.769388357851714,unified
tired,16.320557416009507,unified
red,23.080751751633905,unified
touch,17.005409015899627,unified
ouch,17.4374837457739,unified
cat,22.612189074271345,unified
hose,23.44108157156363,unified
please,9.0414505937948,unified
stairs,13.491240113415907,unified
animal,24.253554702333236,unified
stop,13.289125242956402,unified
hold,20.689764980526625,unified
hand,20.26505401368975,unified
say,15.880652536064934,unified
bed,22.56627346627509,unified
bread,24.552183956320874,unified
raisin,26.995422313975407,unified
love,14.804516470026597,unified
find,16.26060351736497,unified
hard,18.605513776815087,unified
mine,22.21869255046148,unified
wanna,9.314821044625488,unified
arm,22.77733713774577,unified
over,22.136295041497313,unified
show,19.832720952398752,unified
big,14.453153244901596,unified
cover,23.574383663982733,unified
money,13.961205325858444,unified
off,17.950393199004026,unified
hit,17.18655184979191,unified
bat,22.083920314593147,unified
box,17.836290177769797,unified
pickle,16.580105212816836,unified
store,22.134559585492227,unified
today,11.444344951751336,unified
drive,18.9341396662841,unified
wind,22.522722816923498,unified
window,21.224388014624065,unified
turn,21.273515773491695,unified
face,21.141265681060588,unified
stuck,13.820840740953146,unified
gonna,10.116754536537519,unified
high,24.764148269901096,unified
cut,21.527785741465678,unified
