word,frequency,dataset
duck,7.812481601503437e-05,babylm
today,0.0003303666040268786,babylm
popcorn,1.0566816530473849e-05,babylm
boots,3.39325871918511e-05,babylm
dirty,6.505964363820818e-05,babylm
for,0.006134272496696078,babylm
little,0.0015979852603148564,babylm
spoon,6.247937448541805e-05,babylm
bite,6.220291707619054e-05,babylm
nap,2.2096114411591634e-05,babylm
horse,0.0001618197368678379,babylm
pretty,0.00027350853019575335,babylm
happy,0.00021040456674874722,babylm
dance,6.968774545194285e-05,babylm
watch,0.00025800643695240316,babylm
quiet,9.514230542748353e-05,babylm
feed,5.152346974936474e-05,babylm
good,0.0014970578276202043,babylm
shoulder,4.444820790580134e-05,babylm
street,8.622399418907004e-05,babylm
sing,9.899223083005928e-05,babylm
buy,0.0001474951474045308,babylm
wipe,3.222264691996241e-05,babylm
work,0.0006042130266116878,babylm
boat,0.00015533834649594842,babylm
pillow,2.250568094378054e-05,babylm
stay,0.00024370232581570552,babylm
paper,0.00020785501508587125,babylm
hose,1.0177728324894385e-05,babylm
stop,0.00027729702061850075,babylm
hug,2.889491884592752e-05,babylm
turtle,2.173774369592634e-05,babylm
on,0.007114160424958042,babylm
penis,7.853438254722327e-06,babylm
bowl,4.457107786545801e-05,babylm
rocking,9.44050856695435e-06,babylm
pretzel,4.3516444045071564e-06,babylm
away,0.0007593568290048465,babylm
tongue,4.088497907575783e-05,babylm
cake,9.953490648520958e-05,babylm
plant,4.3086399186273216e-05,babylm
pickle,7.986547377683723e-06,babylm
you,0.01808206546040449,babylm
there,0.0035222312201713974,babylm
flag,2.9591181950648665e-05,babylm
knee,3.893953804786051e-05,babylm
aunt,3.321584576052051e-05,babylm
teacher,8.485194630623719e-05,babylm
train,0.0002042201121126947,babylm
lick,1.3392825602577321e-05,babylm
yum,4.3014725043140155e-05,babylm
swing,3.351278149635747e-05,babylm
coffee,8.207713305065734e-05,babylm
stuck,9.196816480301948e-05,babylm
taste,5.2721451856017296e-05,babylm
hair,0.00020820314663823182,babylm
i,0.00013002713480667383,babylm
hat,0.00014944058843242811,babylm
mouth,0.0001841718303620476,babylm
babysitter's,3.5837071566529525e-07,babylm
wake,5.2281167833914216e-05,babylm
jump,8.205665472404789e-05,babylm
day,0.0006785288738773653,babylm
radio,4.6506279730050604e-05,babylm
tv,4.7673544346788994e-05,babylm
please,0.0004126075636904115,babylm
bring,0.00022036727264424243,babylm
loud,6.65136048274788e-05,babylm
another,0.0006418624300831532,babylm
later,0.0002808397711219348,babylm
make,0.0010756548226510362,babylm
dark,0.00012623864438392643,babylm
inside,0.00017833550727835564,babylm
game,0.00022223080036570196,babylm
popsicle,2.0887893141634352e-06,babylm
uncle,4.77656968165315e-05,babylm
keys,3.5028177665456434e-05,babylm
school,0.00037548035754748693,babylm
candy,2.8198655741206377e-05,babylm
bedroom,4.3199029982625165e-05,babylm
movie,0.00020299141251612797,babylm
park,6.745560785151329e-05,babylm
bread,9.042205114400636e-05,babylm
look,0.0015918724798219368,babylm
french,9.81935760922909e-06,babylm
catch,0.00011412571419443946,babylm
deer,2.468662272768648e-05,babylm
bathtub,1.0249402468027444e-05,babylm
crib,8.058221520816782e-06,babylm
sad,6.554088431353014e-05,babylm
farm,7.001539867769397e-05,babylm
off,0.0010725830736596192,babylm
over,0.0013082476562811174,babylm
cry,9.401599746396403e-05,babylm
brush,5.0612184215244414e-05,babylm
at,0.00424903774903053,babylm
talk,0.00036400225548289275,babylm
store,7.059903098606317e-05,babylm
pen,4.316831249271099e-05,babylm
get,0.0023582431356905186,babylm
potato,1.7334903474895568e-05,babylm
touch,0.000110449854568044,babylm
outside,0.00019810733161977523,babylm
corn,3.475172025622892e-05,babylm
sidewalk,5.19125579549442e-06,babylm
elephant,6.71893896055905e-05,babylm
sleep,0.00021082437244424084,babylm
lion,5.10115115841286e-05,babylm
careful,0.00011422810582748668,babylm
bath,6.942152720602005e-05,babylm
salt,3.1587818795069595e-05,babylm
yard,3.0041705136056467e-05,babylm
build,7.792003274893991e-05,babylm
give,0.0006320840291271431,babylm
arm,0.00010048714867254879,babylm
up,0.0031518602051129672,babylm
did,0.0018484351947483742,babylm
too,0.0010310837447855782,babylm
cracker,1.2317713455581434e-05,babylm
empty,4.964970286460048e-05,babylm
pony,2.2403289310733314e-05,babylm
dry,7.208370966524796e-05,babylm
and,0.021011797256784804,babylm
mine,0.00018827773484724142,babylm
all,0.0031754819548569626,babylm
stroller,1.8532885581548127e-06,babylm
where,0.00130944563838777,babylm
drawer,1.7631839210732527e-05,babylm
that,0.01074676982555435,babylm
towel,4.039349923713114e-05,babylm
turkey,1.5205157507513242e-05,babylm
yellow,0.00017181316025324727,babylm
mittens,4.648580140344116e-06,babylm
helicopter,1.8420254785196176e-05,babylm
bib,1.0464424897426622e-05,babylm
cereal,2.1389612143565764e-05,babylm
jacket,2.704163028777271e-05,babylm
potty,1.4386024443135425e-05,babylm
pet's,2.866965725322362e-07,babylm
toothbrush,8.181091480473455e-06,babylm
nose,0.00013556652215452884,babylm
sister,0.0001420888691796372,babylm
puzzle,5.487167615000907e-05,babylm
yogurt,4.873841733048015e-06,babylm
fall,0.00017008274165474915,babylm
soda,1.1416667084765835e-05,babylm
show,0.0003533944822992,babylm
pour,2.9970030992923406e-05,babylm
paint,4.9342527965458797e-05,babylm
zebra,1.564544152961632e-05,babylm
toy,0.0001518160743191238,babylm
quack,2.903826713219364e-05,babylm
tiger,4.777593597983622e-05,babylm
have,0.004642395685708063,babylm
cookie,4.796024091932123e-05,babylm
bunny,4.2195591978762334e-05,babylm
shower,2.7154261084124658e-05,babylm
hold,0.0002456272885169934,babylm
beans,2.4840210177257325e-05,babylm
chicken,8.084843345409061e-05,babylm
sheep,6.530538355752152e-05,babylm
teddybear,8.191330643778178e-08,babylm
shirt,5.5117416069322415e-05,babylm
couch,2.7123543594210492e-05,babylm
church,7.793027191224464e-05,babylm
blue,0.00023954522551398807,babylm
down,0.001586148787534597,babylm
shopping,3.7250076102581265e-05,babylm
throw,0.00012412937674315355,babylm
cheek,1.571711567274938e-05,babylm
room,0.0004057882809294662,babylm
finger,7.054783516953955e-05,babylm
hurt,0.0001662328162521734,babylm
don't,0.0029350049654822447,babylm
bird,9.781472705001616e-05,babylm
doctor,0.00011685957079680042,babylm
party,0.00019206622526998882,babylm
morning,0.0003326908940970507,babylm
out,0.0026591926235429286,babylm
cow,9.497847881460797e-05,babylm
mad,6.022675855837905e-05,babylm
crayon,7.578004761825287e-05,babylm
stand,0.0001685775846489549,babylm
draw,0.00011128946595903126,babylm
pool,3.621592060880427e-05,babylm
washing,3.5878028219748415e-05,babylm
tape,0.00010527907709915903,babylm
brother,0.00021109059069016363,babylm
milk,0.00015434514765539032,babylm
home,0.0006235445669310043,babylm
need,0.000680054509209769,babylm
girl,0.00047248619069643,babylm
dryer,2.9591181950648664e-06,babylm
do,0.00451308529233272,babylm
who,0.0015761451249858827,babylm
butterfly,2.8567265620176393e-05,babylm
sauce,1.6915097779401935e-05,babylm
put,0.0015309596973221414,babylm
donkey,1.5819507305796606e-05,babylm
butter,5.441091380129654e-05,babylm
rock,9.487608718156074e-05,babylm
hamburger,1.0362033264379395e-05,babylm
bottle,8.422735734464912e-05,babylm
stick,0.00010684566908478161,babylm
why,0.0007698110147389684,babylm
with,0.005275175977939928,babylm
snow,7.044544353649233e-05,babylm
face,0.00034896092458825507,babylm
ant,5.723692287340001e-06,babylm
black,0.00020540785505604252,babylm
medicine,4.0751869952796436e-05,babylm
can,0.0029677600488940527,babylm
buttocks,7.474589212447587e-07,babylm
shh,2.1983483615239685e-05,babylm
scissors,1.564544152961632e-05,babylm
gonna,0.0010991946590885936,babylm
scared,6.614499494850879e-05,babylm
owl,2.3836772173394497e-05,babylm
chase,2.1829896165668845e-05,babylm
fit,0.00011190381575731463,babylm
present,0.00012344335280173714,babylm
house,0.0005937178842243471,babylm
yes,0.0012921516915660933,babylm
jeans,6.215172125966692e-06,babylm
owie,2.1195068040776034e-06,babylm
bump,2.2423767637342762e-05,babylm
gum,1.3740957154937893e-05,babylm
slow,4.41615113332691e-05,babylm
