word,frequency,dataset
duck,0.00023209202872565956,childes
today,0.000508213484803823,childes
popcorn,2.8612183074497825e-05,childes
boots,5.9168883445320744e-05,childes
dirty,0.0001404219276131908,childes
for,0.0034678035333337662,childes
little,0.0019905606880202212,childes
spoon,0.00019396560030842823,childes
bite,0.00014892919078461308,childes
nap,5.46895489591433e-05,childes
horse,0.0002786909967911645,childes
pretty,0.00031581044303708464,childes
happy,0.00023410599306828198,childes
dance,5.757160138048227e-05,childes
watch,0.0004989423041231302,childes
quiet,9.76425470940387e-05,childes
feed,8.927417801521105e-05,childes
good,0.002112266636656283,childes
shoulder,2.6285707023537444e-05,childes
street,7.003734619085207e-05,childes
sing,0.00020493823362340556,childes
buy,0.00019743795262329447,childes
wipe,8.541986694570953e-05,childes
work,0.00033400556916698374,childes
boat,0.00016521452314133576,childes
pillow,4.527947418585578e-05,childes
stay,0.00025619015379083125,childes
paper,0.00043237731024714434,childes
hose,2.145913730587337e-05,childes
stop,0.000350846477894085,childes
hug,7.243326928810979e-05,childes
turtle,5.4411760773954e-05,childes
on,0.00835666725152654,childes
penis,3.958481638947515e-06,childes
bowl,0.00011194863863128762,childes
rocking,2.2431395954035915e-05,childes
pretzel,1.3715791643721652e-05,childes
away,0.0007496114177333241,childes
tongue,5.2085284722993616e-05,childes
cake,0.00024789123175830095,childes
plant,3.361237040790521e-05,childes
pickle,2.218833129199528e-05,childes
you,0.02823043266100143,childes
there,0.005972480705093083,childes
flag,1.4653326768735538e-05,childes
knee,8.118359712157271e-05,childes
aunt,2.9514994676363047e-05,childes
teacher,0.00015594334246064287,childes
train,0.0004471695311084745,childes
lick,2.927193001432241e-05,childes
yum,0.00014170669796969128,childes
swing,7.347497498256966e-05,childes
coffee,0.0001367065106362839,childes
stuck,0.0002084105859382718,childes
taste,8.222530281603259e-05,childes
hair,0.00039883438688553645,childes
i,6.677333501487781e-05,childes
hat,0.0003673748749128483,childes
mouth,0.000389111800403911,childes
babysitter's,1.1111527407571972e-06,childes
wake,8.153083235305933e-05,childes
jump,0.00017233284538681153,childes
day,0.0004022372921541054,childes
radio,3.489714076440572e-05,childes
tv,0.00015792258328011665,childes
please,0.0007550630108676641,childes
bring,0.000244696667628624,childes
loud,0.00011382370888131538,childes
another,0.0009589942623197585,childes
later,0.0001802150851415579,childes
make,0.001279943786782845,childes
dark,8.719076662629131e-05,childes
inside,0.0002479606788045983,childes
game,0.0002308419818923077,childes
popsicle,6.736363490840507e-06,childes
uncle,2.5903748268902158e-05,childes
keys,6.60441410287559e-05,childes
school,0.0005049147501047001,childes
candy,6.0766165510159215e-05,childes
bedroom,8.10099795058294e-05,childes
movie,6.840534060286494e-05,childes
park,0.00011295562080259881,childes
bread,0.0001781663972757868,childes
look,0.003628816510174114,childes
french,2.718851862540267e-05,childes
catch,0.00016309638822926734,childes
deer,4.0314010375597056e-05,childes
bathtub,3.121644731064751e-05,childes
crib,2.1528584352170694e-05,childes
sad,8.114887359842406e-05,childes
farm,0.00013868575145575766,childes
off,0.001477867868730221,childes
over,0.0014494293032714662,childes
cry,0.00013333832889086364,childes
brush,0.00012826869451115894,childes
at,0.003818268052473216,childes
talk,0.0003494575369681385,childes
store,8.743383128833195e-05,childes
pen,9.507300638103768e-05,childes
get,0.003281546555164341,childes
potato,3.9063963542245213e-05,childes
touch,0.00017017998695159446,childes
outside,0.00031716466043988246,childes
corn,6.212038291295705e-05,childes
sidewalk,7.569728046408405e-06,childes
elephant,0.0001853888900907086,childes
sleep,0.0003356028512318222,childes
lion,0.0001340327993538369,childes
careful,0.00022823771765615803,childes
bath,0.00017997202047951728,childes
salt,3.39943291625405e-05,childes
yard,1.81951261298991e-05,childes
build,0.0001308035117010113,childes
give,0.0007000262266770342,childes
arm,0.0001244143834416574,childes
up,0.004013796211323334,childes
did,0.0026779475522711424,childes
too,0.0012657765893381908,childes
cracker,3.614718759775757e-05,childes
empty,5.854386002864482e-05,childes
pony,2.5556513037415533e-05,childes
dry,9.107980121894151e-05,childes
and,0.014353176634638498,childes
mine,0.0003142826080185435,childes
all,0.002876913339912978,childes
stroller,5.729381319529298e-06,childes
where,0.0020578201523591805,childes
drawer,3.559161122737897e-05,childes
that,0.011505500501216695,childes
towel,0.0001207336899878992,childes
turkey,2.840384193560585e-05,childes
yellow,0.0004492182189742456,childes
mittens,1.079901569923401e-05,childes
helicopter,4.625173283401833e-05,childes
bib,3.329985869956725e-05,childes
cereal,6.434268839447145e-05,childes
jacket,4.482806838492317e-05,childes
potty,4.573087998678839e-05,childes
pet's,4.861293240812737e-07,childes
toothbrush,2.3125866417009165e-05,childes
nose,0.0003144215021111381,childes
sister,0.0001502139611411136,childes
puzzle,0.00016504090552559242,childes
yogurt,1.2465744810369806e-05,childes
fall,0.00030997689114810935,childes
soda,2.215360776884662e-05,childes
show,0.0004429332612843377,childes
pour,7.59403451261247e-05,childes
paint,9.930927620517449e-05,childes
zebra,5.014076742666852e-05,childes
toy,0.0004821708424423262,childes
quack,9.34757243161992e-05,childes
tiger,0.0001328174760436337,childes
have,0.0040591798560786355,childes
cookie,0.00015320018413189854,childes
bunny,0.00013705374586777053,childes
shower,4.6182285787721e-05,childes
hold,0.0003949453522928863,childes
beans,5.576597817675183e-05,childes
chicken,0.0002051465747622975,childes
sheep,0.00014129001569190735,childes
teddybear,1.3889409259464965e-07,childes
shirt,0.00012972708248340276,childes
couch,6.0488377324969915e-05,childes
church,2.7466306810591965e-05,childes
blue,0.0005474163424386629,childes
down,0.0022256736632598143,childes
shopping,7.743345662151717e-05,childes
throw,0.0002623014938649958,childes
cheek,1.166710377795057e-05,childes
room,0.0005181096889011918,childes
