word,frequency,dataset
duck,1.1851250406270394e-05,unified
today,0.000267541304137419,unified
popcorn,2.932798581001791e-06,unified
boots,1.7662944837461912e-05,unified
dirty,3.7673108589376386e-05,unified
for,0.007568695594120885,unified
little,0.0009875960334421068,unified
spoon,5.231015012897931e-06,unified
bite,2.111761985768959e-05,unified
nap,5.255516254176142e-06,unified
horse,9.139943046423626e-05,unified
pretty,0.00021582163392324456,unified
happy,0.00018895112261343118,unified
dance,7.670113582143782e-05,unified
watch,0.00014362627637286965,unified
quiet,5.745051054914787e-05,unified
feed,3.884181779834703e-05,unified
good,0.00108084285749872,unified
shoulder,3.2478845438395774e-05,unified
street,0.00010127098057522726,unified
sing,4.654745818034422e-05,unified
buy,0.00010392446500565745,unified
wipe,1.1375926325473111e-05,unified
work,0.0007313326506650481,unified
boat,8.560978715019514e-05,unified
pillow,9.138962996772498e-06,unified
stay,0.00027025604167104473,unified
paper,9.248483545286099e-05,unified
hose,4.870846766108238e-06,unified
stop,0.00028209994170493166,unified
hug,9.815197256051106e-06,unified
turtle,5.0129539655218586e-06,unified
on,0.006931724573990609,unified
penis,7.911450808734155e-06,unified
bowl,1.5876804348280372e-05,unified
rocking,3.4693757649945996e-06,unified
pretzel,5.659786735266614e-07,unified
away,0.0005878705326087425,unified
tongue,3.2978670760471263e-05,unified
cake,2.597866612728654e-05,unified
plant,5.5781976018101734e-05,unified
pickle,2.2786154388735717e-06,unified
you,0.014883550978227127,unified
there,0.0021485530496723197,unified
flag,2.445223879565403e-05,unified
knee,1.776830017495822e-05,unified
aunt,1.9850905683606106e-05,unified
teacher,5.164126624208417e-05,unified
train,8.84225296489337e-05,unified
lick,5.346170846905521e-06,unified
yum,2.229612956317151e-07,unified
swing,1.5722446528227645e-05,unified
coffee,8.089819845239526e-05,unified
stuck,4.222788934299571e-05,unified
taste,4.7179590205322044e-05,unified
hair,0.00011112292969319568,unified
i,0.00015858673429734496,unified
hat,4.693212766841212e-05,unified
mouth,9.566999681902834e-05,unified
babysitter's,1.5435782005272584e-07,unified
wake,4.1360545401747064e-05,unified
jump,3.581346437636022e-05,unified
day,0.0007184817496146268,unified
radio,6.485233553929524e-05,unified
tv,2.0532040191140356e-06,unified
please,0.000373977146374093,unified
bring,0.00021479503191368756,unified
loud,3.188101515120744e-05,unified
another,0.00047285925592469475,unified
later,0.00038481649551557335,unified
make,0.0008977279305577587,unified
dark,0.00011300462502336224,unified
inside,0.00014720590772361621,unified
game,0.00024085210201306437,unified
popsicle,2.7441390231595705e-07,unified
uncle,4.607213409954693e-05,unified
keys,3.0937717361996335e-05,unified
school,0.00032857879640969687,unified
candy,1.272839484403033e-05,unified
bedroom,2.2688149423622876e-05,unified
movie,7.28691416855257e-05,unified
park,5.511554225533441e-05,unified
bread,3.629613882954096e-05,unified
look,0.0005820196361915058,unified
french,2.183060597888551e-06,unified
catch,8.61880164443609e-05,unified
deer,1.1023108451066882e-05,unified
bathtub,3.099407021693622e-06,unified
crib,2.6412338097910864e-06,unified
sad,4.877462101253354e-05,unified
farm,3.8758513578001115e-05,unified
off,0.0008736358600088944,unified
over,0.0011408463973890575,unified
cry,5.737455670118541e-05,unified
brush,1.1934554626616311e-05,unified
at,0.004277323797136612,unified
talk,0.0004158571180909382,unified
store,6.275747941000824e-05,unified
pen,1.9444185078387812e-05,unified
get,0.0017783882964411161,unified
potato,6.884848799177137e-06,unified
touch,0.00010516912806259054,unified
outside,0.00014837216680845902,unified
corn,1.72072217496872e-05,unified
sidewalk,4.184812010318345e-06,unified
elephant,9.148763493283782e-06,unified
sleep,0.00012191082622799173,unified
lion,1.2022759095217868e-05,unified
careful,4.8117987746277504e-05,unified
bath,1.992930965569638e-05,unified
salt,2.5856159920895487e-05,unified
yard,2.318552462157055e-05,unified
build,5.7212848508749225e-05,unified
give,0.0006081600105112286,unified
arm,6.912535201821514e-05,unified
up,0.002425277419040812,unified
did,0.0011445754863116011,unified
too,0.0009174146779248008,unified
cracker,2.224712708061509e-06,unified
empty,4.5261143013238166e-05,unified
pony,6.3066195050113695e-06,unified
dry,4.953905974041371e-05,unified
and,0.020895261292593316,unified
mine,0.00014712015337914246,unified
all,0.0032272103964490232,unified
stroller,6.982853764289979e-07,unified
where,0.0009911462633033195,unified
drawer,7.984954532568786e-06,unified
that,0.009898648483844691,unified
towel,7.0392066192298626e-06,unified
turkey,7.64438727880166e-06,unified
yellow,4.400177921153815e-05,unified
mittens,5.92930038932693e-07,unified
helicopter,1.120686776065346e-05,unified
bib,2.71963778188136e-07,unified
cereal,3.1729107455282534e-06,unified
jacket,1.6579989972965012e-05,unified
potty,7.472878589854188e-07,unified
pet's,1.3475682703015747e-07,unified
toothbrush,2.5775305824677393e-06,unified
nose,3.995907440063342e-05,unified
sister,0.00012043095125478783,unified
puzzle,7.872248822689017e-06,unified
yogurt,1.793490861565005e-06,unified
fall,0.0001147932156366716,unified
soda,6.997554509056904e-06,unified
show,0.0003559760844069918,unified
pour,1.0229268233652862e-05,unified
paint,2.6779856717084023e-05,unified
zebra,1.1172566022863964e-06,unified
toy,1.2794548195481498e-05,unified
quack,1.3181667807677222e-06,unified
tiger,8.259368434884743e-06,unified
have,0.004890604567074987,unified
cookie,5.010503841394037e-06,unified
bunny,3.662935571092462e-06,unified
shower,2.494471374534606e-05,unified
hold,0.00018619473296963248,unified
beans,1.0094511406622706e-05,unified
chicken,2.8659101923122765e-05,unified
sheep,2.163704617278765e-05,unified
teddybear,5.145260668424195e-08,unified
shirt,2.919567910711557e-05,unified
couch,1.5886604844791656e-05,unified
church,0.000134188398232503,unified
blue,7.855342966207052e-05,unified
down,0.0010799265110749152,unified
shopping,1.892230863916193e-05,unified
throw,7.198219675125448e-05,unified
cheek,1.2213868777187909e-05,unified
room,0.0003189767599527662,unified
finger,3.071965631462026e-05,unified
hurt,0.0001226630143352328,unified
don't,0.0023555640372319195,unified
bird,4.349705364120701e-05,unified
doctor,9.805886784365386e-05,unified
party,0.0002051023408640275,unified
morning,0.0002945906745085633,unified
out,0.0026561869173431785,unified
cow,1.6165918995363256e-05,unified
mad,5.419184545914587e-05,unified
crayon,5.684287976544824e-07,unified
stand,0.00014667423078787905,unified
draw,5.26458171344908e-05,unified
pool,3.200107123347067e-05,unified
washing,9.854399242096244e-06,unified
tape,3.1315036477680774e-05,unified
brother,0.00022780764115654513,unified
milk,3.065105283904128e-05,unified
home,0.0005825243617618369,unified
need,0.0008997835847010005,unified
girl,0.0003212014726608277,unified
dryer,1.4382228630309534e-06,unified
do,0.002768091436633149,unified
who,0.0018717576267041204,unified
butterfly,6.7059897378462005e-06,unified
sauce,1.0753594797006567e-05,unified
put,0.0005156751750583675,unified
donkey,4.780192173378859e-06,unified
butter,1.5276523936964215e-05,unified
rock,7.946487583761996e-05,unified
hamburger,1.5876804348280372e-06,unified
bottle,3.604867629263104e-05,unified
stick,5.6752225172718865e-05,unified
why,0.0005765926112483822,unified
with,0.006557164298074095,unified
snow,3.6009474306585896e-05,unified
face,0.0003185210368649915,unified
ant,4.182361886190524e-06,unified
black,0.00015257902993592775,unified
medicine,3.150859628377864e-05,unified
can,0.002130169768341278,unified
buttocks,1.3475682703015748e-06,unified
shh,1.092755361008186e-06,unified
scissors,4.12600903125064e-06,unified
gonna,0.000903434269651454,unified
scared,7.763708323826546e-05,unified
owl,5.378022460567194e-06,unified
chase,1.7733998437168725e-05,unified
fit,5.749461278344864e-05,unified
present,0.00018164975271252445,unified
house,0.0004630269077997489,unified
yes,0.00011626819036161988,unified
jeans,3.645784702197715e-06,unified
owie,3.185161366167358e-08,unified
bump,6.850547061387642e-06,unified
gum,7.134761460214883e-06,unified
slow,4.981837389098531e-05,unified
windy,1.8326928476101418e-06,unified
wind,7.319990844278155e-05,unified
big,0.0002960852502265342,unified
noisy,5.456426432657467e-06,unified
bathroom,3.1866314406440515e-05,unified
bed,0.0001403725115311233,unified
bee,8.176064214538827e-06,unified
pick,9.875715322008286e-05,unified
cockadoodledoo,4.4102234300778814e-08,unified
grandma,7.218065680560799e-06,unified
like,0.0020834606019684977,unified
slipper,1.0486531267074072e-06,unified
dinner,9.849989018666165e-05,unified
friend,0.00030202925136062805,unified
zipper,8.501930723539026e-07,unified
drink,0.0001126861088867455,unified
hand,0.00033295471810198526,unified
thank,0.00015359338132484566,unified
ladder,9.86909998686317e-06,unified
nuts,2.1698299275983174e-05,unified
closet,1.36447412678354e-05,unified
meat,3.617608274727773e-05,unified
lady,0.0001194264003623812,unified
wolf,1.3541836054466915e-05,unified
blanket,9.058108900554404e-06,unified
fix,4.822824333202945e-05,unified
child's,8.188314835177933e-06,unified
cook,3.080051041083836e-05,unified
light,0.00021079397921295578,unified
orange,1.411761522450486e-05,unified
moon,4.285757124384572e-05,unified
run,0.00023290634946654073,unified
sleepy,4.564581250130607e-06,unified
gas,5.517189511027429e-05,unified
climb,1.765559446507845e-05,unified
leg,4.312218464965039e-05,unified
nail,1.106476056123984e-05,unified
garden,4.5469403564102954e-05,unified
basket,1.1285271732743733e-05,unified
penguin,1.5386779522716162e-06,unified
lollipop,6.884848799177137e-07,unified
garbage,1.1598887621104828e-05,unified
blow,6.374977968177577e-05,unified
comb,4.047605059160366e-06,unified
find,0.000626594744448954,unified
grapes,7.2425669218390095e-06,unified
block,3.676411253795478e-05,unified
beach,3.5708109038863914e-05,unified
mouse,9.582435463908108e-06,unified
apple,1.3225770041978002e-05,unified
grass,2.8967817563228216e-05,unified
man,0.0010855054437139636,unified
splash,3.1876114902951797e-06,unified
toe,6.316420001522654e-06,unified
sit,0.00012498818213253497,unified
drop,6.561187401891977e-05,unified
squirrel,3.0822561527988748e-06,unified
cat,3.344419434475727e-05,unified
food,0.00014598574590796133,unified
airplane,6.571232910816043e-06,unified
pancake,1.298565787745154e-06,unified
is,0.009617719701472857,unified
hit,0.00015943202712144324,unified
hungry,3.263565338257632e-05,unified
go,0.0015161417105439183,unified
chin,9.854399242096244e-06,unified
cold,0.00011598887621104827,unified
kiss,4.9852675628774806e-05,unified
