Index	age	fit_prop	fit_se	aoa	language	form	measure	lexical_category	uni_lemma	words	prop	word_bytes	CleanedWord	CleanedSingle
1	16	0.0132223084738239	0.100087386227437	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0043010752688172	75 73 2c 20 77 65	us, we	us
2	17	0.0180373194007451	0.0912694076308002	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0262008733624454	75 73 2c 20 77 65	us, we	us
3	18	0.0245621107165808	0.0825574168921918	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0234009360374415	75 73 2c 20 77 65	us, we	us
4	19	0.0333669680981129	0.0739888628493652	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0350877192982456	75 73 2c 20 77 65	us, we	us
5	20	0.0451819315942179	0.0656199588141459	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0335195530726257	75 73 2c 20 77 65	us, we	us
6	21	0.0609168270470828	0.0575378883084465	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0382513661202186	75 73 2c 20 77 65	us, we	us
7	22	0.0816628305195379	0.0498822675348399	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.0814977973568282	75 73 2c 20 77 65	us, we	us
8	23	0.108656657705369	0.0428821065834743	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.117021276595745	75 73 2c 20 77 65	us, we	us
9	24	0.143182148236845	0.0369122194246374	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.138071065989848	75 73 2c 20 77 65	us, we	us
10	25	0.186384094602646	0.0325446039746336	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.202113606340819	75 73 2c 20 77 65	us, we	us
11	26	0.238985436740736	0.030476105067346	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.23448275862069	75 73 2c 20 77 65	us, we	us
12	27	0.300940995782493	0.0311678863493038	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.349030470914127	75 73 2c 20 77 65	us, we	us
13	28	0.371125370844449	0.0344540814140697	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.428721174004193	75 73 2c 20 77 65	us, we	us
14	29	0.447206751324932	0.0396955002473655	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.428205128205128	75 73 2c 20 77 65	us, we	us
15	30	0.52584342549848	0.0462318524492245	29.6719834799968	English (American)	WS	produces	function_words	1PL	us, we	0.456050955414013	75 73 2c 20 77 65	us, we	us
16	16	0.00782221634164306	0.125908803293922	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0	6f 75 72	our	our
17	17	0.0105674759605419	0.115143695830431	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0174672489082969	6f 75 72	our	our
18	18	0.0142623533237412	0.104484986476685	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0124804992199688	6f 75 72	our	our
19	19	0.0192240295898089	0.0939688878061999	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0228070175438597	6f 75 72	our	our
20	20	0.02586651052999	0.0836492027397412	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0204841713221601	6f 75 72	our	our
21	21	0.0347229112740877	0.073608587334722	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0273224043715847	6f 75 72	our	our
22	22	0.0464669986983759	0.0639785659951162	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0440528634361234	6f 75 72	our	our
23	23	0.0619283710837551	0.0549753349342088	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0680851063829787	6f 75 72	our	our
24	24	0.0820914335840685	0.0469607896273517	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.0771573604060914	6f 75 72	our	our
25	25	0.108063075113941	0.0405258169649827	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.101717305151915	6f 75 72	our	our
26	26	0.140989400174859	0.0365152801699937	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.142528735632184	6f 75 72	our	our
27	27	0.181902191316043	0.0357545423417214	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.199445983379501	6f 75 72	our	our
28	28	0.23148784986907	0.0384370482373154	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.30083857442348	6f 75 72	our	our
29	29	0.289802137980477	0.0439365886623942	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.271794871794872	6f 75 72	our	our
30	30	0.356001507383932	0.0513560000032917	31.9525463962729	English (American)	WS	produces	function_words	1PL.POSS	our	0.292993630573248	6f 75 72	our	our
31	16	0.210989915221747	0.0453613484108111	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.212903225806452	69 2c 20 6d 65	i, me	i
32	17	0.258715128040986	0.0402973034598549	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.235807860262009	69 2c 20 6d 65	i, me	i
33	18	0.312953771969929	0.0355972022906361	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.307332293291732	69 2c 20 6d 65	i, me	i
34	19	0.37284410626186	0.0314247730938745	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.401754385964912	69 2c 20 6d 65	i, me	i
35	20	0.436907251348665	0.0280167686462719	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.43389199255121	69 2c 20 6d 65	i, me	i
36	21	0.503146937048324	0.0256793632135252	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.491803278688525	69 2c 20 6d 65	i, me	i
37	22	0.569276339865144	0.024718160793671	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.548458149779736	69 2c 20 6d 65	i, me	i
38	23	0.633023698236362	0.0252905646296716	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.634042553191489	69 2c 20 6d 65	i, me	i
39	24	0.692433721850025	0.0273002793731056	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.674111675126904	69 2c 20 6d 65	i, me	i
40	25	0.746083728612774	0.0304641634828175	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.792602377807133	69 2c 20 6d 65	i, me	i
41	26	0.793170692212469	0.0344658188334797	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.772413793103448	69 2c 20 6d 65	i, me	i
42	27	0.833474676696392	0.0390485273385932	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.825484764542936	69 2c 20 6d 65	i, me	i
43	28	0.867239366502365	0.0440312356749123	20.9527323372667	English (American)	WS	produces	function_words	1SG	i, me	0.915094339622642	69 2c 20 6d 65	i, me	i
