word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
a,function_words,28.16199673640235,1,167345.0,7.996175565448624,0.022282205406395764,-3.803966882897431,1.46
all,function_words,26.9899540676034,3,27168.0,8.87525765606596,0.003617454698263827,-5.621984622477248,2.27
all,predicates,19.2957060536596,3,27168.0,8.87525765606596,0.003617454698263827,-5.621984622477248,2.27
am,function_words,29.1158580199564,2,2272.0,6.736355633802817,0.00030251976864161564,-8.10336393174728,1.96
and,function_words,27.1403222733789,3,115444.0,11.08036797061779,0.015371519441488856,-4.175238868706217,1.52
animal,nouns,24.8353543155496,6,1280.0,9.41328125,0.00017043367247414966,-8.677164354674659,4.61
another,function_words,28.8182074038765,7,6834.0,6.7254901960784315,0.0009099560294440148,-7.002114278913084,2.69
apple,nouns,18.3276206618065,5,1955.0,6.4787723785166245,0.00026031080444293954,-8.253634239168855,5.0
arm,nouns,22.4892461566252,3,860.0,7.594186046511628,0.00011451012369356932,-9.074847322340768,4.96
at,function_words,29.0538706746015,2,30942.0,8.704543985521298,0.004119967729449328,-5.491909948309307,2.07
aunt,other,26.1717857287087,4,293.0,7.511945392491468,3.9013332839785824e-05,-10.151607102571255,4.17
away,function_words,27.4809309430322,4,5305.0,8.52214891611687,0.0007063676816213781,-7.255374660540238,2.23
back,function_words,26.9502558853245,4,14721.0,8.413015420148088,0.0019601203847593417,-6.234749386830308,4.33
bad,predicates,25.6762075429889,3,2922.0,7.311088295687885,0.0003890681179448948,-7.851756119277677,1.68
basket,nouns,26.2812348176887,6,741.0,8.01484480431849,9.866511820573821e-05,-9.223779086292234,5.0
bath,other,18.324056684151,4,2183.0,8.4942739349519,0.0002906693023523974,-8.143324355038377,4.85
beach,other,26.7023755439302,5,697.0,8.758967001434721,9.280646071443931e-05,-9.284994300827798,4.79
bear,nouns,20.0448234801683,4,3864.0,7.928571428571429,0.0005144966487813393,-7.572321516255913,4.88
bed,nouns,21.074405775654,3,3888.0,8.524948559670781,0.0005176922801402296,-7.566129546007992,5.0
bedroom,nouns,25.6497184350659,7,62.0,8.14516129032258,8.255381010466625e-06,-11.70464532654323,4.9
better,predicates,27.6449154570946,6,5085.0,8.002556538839725,0.0006770743941648836,-7.297729403105661,1.91
big,predicates,23.0687028910903,3,12598.0,7.881012859183998,0.00167744016080417,-6.390486361406447,3.66
bird,nouns,17.6128239178512,4,2221.0,7.022962629446195,0.0002957290520039738,-8.126066887693893,5.0
